,보호소이름,상세주소,주소,위도,경도
244,신안군유기동물보호소,전라남도 무안군 삼향읍 석매길 21-3  ,전라남도 무안군 삼향읍 석매길 21-3  ,0.0,0.0
245,신안군유기동물보호소,전라남도 무안군 삼향읍 석매길 21-3  ,전라남도 무안군 삼향읍 석매길 21-3  ,0.0,0.0
246,해남유기동물보호센터,전라남도 해남군 해남읍 용머리길 14-37  ,전라남도 해남군 해남읍 용머리길 14-37  ,34.5650544,126.5787545
247,익산유기동물보호소,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,0.0,0.0
248,익산유기동물보호소,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,0.0,0.0
249,익산유기동물보호소,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,0.0,0.0
250,익산유기동물보호소,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,0.0,0.0
251,익산유기동물보호소,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,0.0,0.0
252,익산유기동물보호소,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,0.0,0.0
253,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37  ,경기도 양주시 남면 감악산로 63-37  ,0.0,0.0
254,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37  ,경기도 양주시 남면 감악산로 63-37  ,0.0,0.0
255,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37  ,경기도 양주시 남면 감악산로 63-37  ,0.0,0.0
256,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37  ,경기도 양주시 남면 감악산로 63-37  ,0.0,0.0
257,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37  ,경기도 양주시 남면 감악산로 63-37  ,0.0,0.0
258,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37 ,경기도 양주시 남면 감악산로 63-37 ,0.0,0.0
259,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37  ,경기도 양주시 남면 감악산로 63-37  ,0.0,0.0
